garment,category,arm,shoulder_error_px,waist_error_px,hip_error_px,hem_error_px,silhouette_iou,flare_distortion,edge_darkening
dress_1,dress,Remove garment landmarks,18.82423081344216,12.165525060596439,27.018512172212592,70.78484653544112,0.8709401043694992,0.03589743589743595,46.574310302734375
dress_1,dress,Remove silhouette conform,10.04987562112089,39.71764199355333,52.3450093132096,69.3825100105312,0.7614547194640507,0.009090909090909172,43.811561584472656
dress_1,dress,Remove depth shading,9.055385138137417,72.0173582655276,94.00531899844816,68.25660206777847,0.9012137795551813,0.01538461538461533,41.28595733642578
dress_2,dress,Full system,9.055385138137417,14.035668847618199,33.38382475283487,93.31375805897015,0.5953426588592496,0.05474388311916913,56.08354187011719
dress_2,dress,Remove similarity transform,74.73285756613352,71.00704190430693,95.01315665575157,94.64142856064674,0.81150449781299,0.05761822107446759,55.46763610839844
dress_2,dress,Remove garment landmarks,25.495097567963924,75.23961722390672,95.01315665575157,83.6835529027189,0.8684512766145419,0.39066294039492366,57.140350341796875
dress_2,dress,Remove silhouette conform,10.04987562112089,14.035668847618199,34.73416523574352,93.31375805897015,0.5667176522437974,0.027177971880377957,55.14683532714844
dress_2,dress,Remove depth shading,9.055385138137417,14.035668847618199,33.38382475283487,93.31375805897015,0.5953426588592496,0.05474388311916913,52.13273620605469
bottom_0,bottom,Full system,,1.4142135623730951,3.0,81.18804624258962,0.8579080266278981,0.066213921901528,37.21417236328125
bottom_0,bottom,Remove similarity transform,,218.05733191066977,234.0138884157684,273.1657000753071,0.7387349929837327,0.0035842293906809906,36.39042663574219
bottom_0,bottom,Remove garment landmarks,,5.0990195135927845,14.0,90.06941557763173,0.8403072899640406,0.13412563667232602,36.275489807128906
bottom_0,bottom,Remove silhouette conform,,1.4142135623730951,27.16615541441225,81.18804624258962,0.8270282764465675,0.013824884792626679,37.28495788574219
bottom_0,bottom,Remove depth shading,,1.4142135623730951,3.0,81.18804624258962,0.8579080266278981,0.066213921901528,36.99385070800781
bottom_1,bottom,Full system,,1.4142135623730951,6.0,76.05918747922567,0.7965529886321966,0.0,40.3831787109375
bottom_1,bottom,Remove similarity transform,,212.01532955246313,233.0,273.0,0.6535256744089157,0.1578947368421053,41.2454833984375
bottom_1,bottom,Remove garment landmarks,,8.06225774829855,13.0,86.05230967266364,0.7943872627854616,0.0,41.030517578125
bottom_1,bottom,Remove silhouette conform,,1.4142135623730951,29.154759474226502,72.11102550927978,0.7603576101177497,0.02857142857142847,47.617950439453125
bottom_1,bottom,Remove depth shading,,1.4142135623730951,6.0,76.05918747922567,0.7965529886321966,0.0,40.50691223144531
bottom_2,bottom,Full system,,1.4142135623730951,9.0,105.07616285342742,0.8261833148646509,0.08195488721804504,31.495864868164062
bottom_2,bottom,Remove similarity transform,,212.19095173922943,233.0772404161333,273.80650101851126,0.7633534833019522,0.0785714285714285,30.94499969482422
bottom_2,bottom,Remove garment landmarks,,5.0,8.0,116.52038448271615,0.8653318705430609,0.18120300751879692,34.11775207519531
bottom_2,bottom,Remove silhouette conform,,1.4142135623730951,27.16615541441225,105.07616285342742,0.7969543147208121,0.003265306122448911,31.14203643798828
bottom_2,bottom,Remove depth shading,,1.4142135623730951,9.0,105.07616285342742,0.8261833148646509,0.08195488721804504,31.565780639648438
